2021-11-26 13:05:29.389 ERROR 20916 --- [restartedMain] o.s.b.c.l.LoggingApplicationListener     : Cannot set level '=debu' for 'org.springframework.web'
2021-11-26 13:05:35.278  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : ProgramW6432
2021-11-26 13:05:35.278  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : HOMEPATH
2021-11-26 13:05:35.278  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : PROCESSOR_IDENTIFIER
2021-11-26 13:05:35.278  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : ProgramFiles
2021-11-26 13:05:35.278  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : PUBLIC
2021-11-26 13:05:35.278  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : JAVA_HOME_OPEN_15
2021-11-26 13:05:35.278  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : windir
2021-11-26 13:05:35.278  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : =::
2021-11-26 13:05:35.278  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : JAVA_HOME_OPEN_11
2021-11-26 13:05:35.278  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : QTJAVA
2021-11-26 13:05:35.278  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : LOCALAPPDATA
2021-11-26 13:05:35.278  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : ChocolateyLastPathUpdate
2021-11-26 13:05:35.278  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : USERDOMAIN
2021-11-26 13:05:35.278  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : FPS_BROWSER_APP_PROFILE_STRING
2021-11-26 13:05:35.279  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : LOGONSERVER
2021-11-26 13:05:35.279  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : GRADLE_HOME
2021-11-26 13:05:35.279  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : ERLANG_HOME
2021-11-26 13:05:35.279  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : GROOVY_HOME
2021-11-26 13:05:35.279  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : OneDrive
2021-11-26 13:05:35.279  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : APPDATA
2021-11-26 13:05:35.279  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : ChocolateyInstall
2021-11-26 13:05:35.279  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : JAVA_HOME_OPEN_8
2021-11-26 13:05:35.279  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : CommonProgramFiles
2021-11-26 13:05:35.279  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : Path
2021-11-26 13:05:35.279  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : OS
2021-11-26 13:05:35.279  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : COMPUTERNAME
2021-11-26 13:05:35.279  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : PROCESSOR_REVISION
2021-11-26 13:05:35.279  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : CLASSPATH
2021-11-26 13:05:35.279  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : CommonProgramW6432
2021-11-26 13:05:35.279  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : ComSpec
2021-11-26 13:05:35.279  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : KUBECTL
2021-11-26 13:05:35.279  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : SystemRoot
2021-11-26 13:05:35.280  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : TEMP
2021-11-26 13:05:35.280  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : HOMEDRIVE
2021-11-26 13:05:35.280  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : USERPROFILE
2021-11-26 13:05:35.280  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : TMP
2021-11-26 13:05:35.280  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : JAVA_HOME_ORACLE
2021-11-26 13:05:35.280  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : CommonProgramFiles(x86)
